"ZIP","pm25","STATE"
"01060",3.37551949425049,"MA"
"01061",4.82066939074127,"MA"
"01062",2.49263180814544,"MA"
"01063",4.9497299209051,"MA"
"01066",4.17338397559085,"MA"
"01068",2.71171219824933,"MA"
"01069",2.34363986194814,"MA"
"01070",2.33508932495954,"MA"
"01071",1.55869676250222,"MA"
"01072",1.64080418493804,"MA"
"01073",2.22598790285524,"MA"
"01074",3.96254565287573,"MA"
"01075",2.64803313297238,"MA"
"01077",2.68649628404444,"MA"
"01079",2.56947917294222,"MA"
"01080",2.33104023314709,"MA"
"01081",2.22839054708243,"MA"
"01082",2.06624591472011,"MA"
"01083",2.09015669201213,"MA"
"01084",1.86230005869236,"MA"
"01085",2.46888704334231,"MA"
"01086",4.04897528015058,"MA"
"01088",2.77012854587434,"MA"
"01089",2.75551473269199,"MA"
"01090",2.98098512701644,"MA"
"01092",2.35009333185135,"MA"
"01093",3.68276539915995,"MA"
"01094",3.23431098985818,"MA"
"01095",2.4112604988084,"MA"
"01096",2.05265843755749,"MA"
"01097",2.18758938721574,"MA"
"01098",1.95273083664146,"MA"
"01101",3.36448000365158,"MA"
"01102",3.36448000365158,"MA"
"01103",3.02395033903139,"MA"
"01104",2.8344606989446,"MA"
"01105",2.82193896023466,"MA"
"01106",2.69564007549613,"MA"
"01107",3.15466038913949,"MA"
"01108",2.72721381792368,"MA"
"01109",2.3257622212183,"MA"
"01111",2.03958628506123,"MA"
"01115",3.14369093692089,"MA"
"01116",2.50958141900615,"MA"
"01118",2.39037488270785,"MA"
"01119",2.55807773141974,"MA"
"01128",2.59551373938791,"MA"
"01129",2.80384732918772,"MA"
"01138",3.31146649440294,"MA"
"01139",2.39587928152828,"MA"
"01144",3.14369093692089,"MA"
"01151",2.99364698361205,"MA"
"01152",2.94614115047715,"MA"
"01199",2.55973448387965,"MA"
"01201",2.68829157953073,"MA"
"01202",4.97232666534581,"MA"
"01203",4.97232666534581,"MA"
"01220",2.53312859230201,"MA"
"01222",2.83641310783741,"MA"
"01223",2.1621621696867,"MA"
"01224",2.25298682491993,"MA"
"01225",2.38103796861754,"MA"
"01226",2.53740146643102,"MA"
"01227",2.22807077761365,"MA"
"01229",1.96650583437557,"MA"
"01230",2.42640828490049,"MA"
"01235",2.28922829364003,"MA"
"01236",2.13435243525392,"MA"
"01237",2.231817877294,"MA"
"01238",2.52373987552624,"MA"
"01240",2.70994627132411,"MA"
"01242",2.43262675359682,"MA"
"01243",1.98511125148738,"MA"
"01244",2.10808186178044,"MA"
"01245",2.13738309900843,"MA"
"01247",2.17762798603392,"MA"
"01252",2.48585410971324,"MA"
"01253",2.23297297308744,"MA"
"01254",2.38088327450649,"MA"
"01255",1.93436720638906,"MA"
"01256",2.17551529321378,"MA"
"01257",2.74755366234677,"MA"
"01258",2.12717186020806,"MA"
"01259",2.32820752057204,"MA"
"01260",4.29386170489088,"MA"
"01262",2.59776913195887,"MA"
"01263",2.80002767005524,"MA"
"01264",1.95595003937256,"MA"
"01266",2.52032497843465,"MA"
"01267",2.18210730063819,"MA"
"01270",2.46533664790245,"MA"
"01301",2.90221662675863,"MA"
"01302",4.48408866581303,"MA"
"01330",2.40232477462171,"MA"
"01331",2.38173262387448,"MA"
"01337",1.91107280994222,"MA"
"01338",2.42947001213175,"MA"
"01339",1.83292276668651,"MA"
